"","game","Point","Our score at pull","Opponent's score at pull","Started on offense?","Scored?","Possessions","Passes","Turnovers","Thrower errors","Receiver errors","Defensive blocks","Opposition errors","Secondary assist","Assist","Goal"
"168","Texas 2025-02-28_11-30",10,4,5,1,0,1,5,1,1,0,0,0,NA,NA,NA
"169","Texas 2025-02-28_11-30",11,4,6,1,0,2,10,2,2,0,1,0,NA,NA,NA
"170","Texas 2025-02-28_11-30",12,4,7,0,0,0,0,0,0,0,0,0,NA,NA,NA
"171","Texas 2025-02-28_11-30",13,4,8,1,1,2,18,1,1,0,1,0,"Ian Buchanon","Carter Hawkins","Shiff Burt"
"172","Texas 2025-02-28_11-30",14,5,8,0,0,3,6,3,3,0,3,0,NA,NA,NA
"173","Texas 2025-02-28_11-30",15,5,9,1,1,1,8,0,0,0,0,0,"Caelan McSweeney","Griffin Gee","Carter Hawkins"
"174","Texas 2025-02-28_11-30",16,6,9,0,1,2,8,1,1,0,0,2,"Luca Harwood","Carter Hawkins","Sam Green"
"175","Texas 2025-02-28_11-30",17,7,9,0,0,0,0,0,0,0,0,0,NA,NA,NA
"176","Texas 2025-02-28_11-30",18,7,10,1,1,2,6,1,0,1,1,0,NA,"Caelan McSweeney","Gavin Abrahamson"
"177","Texas 2025-02-28_11-30",19,8,10,0,1,1,7,0,0,0,0,1,"Artie Aucoin","Calan Kirkpatrick","Artie Aucoin"
"178","Texas 2025-02-28_11-30",20,9,10,0,0,0,0,0,0,0,0,0,NA,NA,NA
"179","Texas 2025-02-28_11-30",21,9,11,1,1,1,3,0,0,0,0,0,"Luca Harwood","Gavin Abrahamson","Griffin Gee"
"180","Texas 2025-02-28_11-30",22,10,11,0,1,1,10,0,0,0,1,0,"Toby Paperno","Artie Aucoin","Shiff Burt"
"181","Texas 2025-02-28_11-30",23,11,11,0,1,1,1,0,0,0,0,1,NA,"Caelan McSweeney","Mason Stone"
"182","Texas 2025-02-28_11-30",24,12,11,0,0,0,0,0,0,0,0,0,NA,NA,NA
"183","UNC 2025-03-02_11-59",1,0,0,1,1,1,12,0,0,0,0,0,"Luca Harwood","Ethan Lieman","Roan Dunkerley"
"184","UNC 2025-03-02_11-59",2,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"185","UNC 2025-03-02_11-59",3,1,1,1,1,1,11,0,0,0,0,0,"Gavin Abrahamson","Caelan McSweeney","Luca Harwood"
"186","UNC 2025-03-02_11-59",4,2,1,0,1,2,21,1,1,0,0,2,"Leo Narbonne","Artie Aucoin","Gavin Abrahamson"
